airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,latitude,longitude,negative_score,positive_score,neutral_score,compound_score,NltkResult,TextBlob Polarity Score,Textblob PolarityResult sentiment,TextBlob Subjectivity Score,Textblob SubjectivityResult sentiment,Happy,Angry,Surprise,Sad,Fear,emotionResult
neutral,1,,0,Virgin America,cairdin,0,virginamerica dhepburn said,24-02-2015 11:35,35.88845519,-119.273781,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,1,0,0,surprise
positive,0.3486,,0,Virgin America,jnardino,0,virginamerica plus added commercials experience tacky,24-02-2015 11:15,37.77097123,-119.9410254,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,1,0,sad
neutral,0.6837,,0,Virgin America,yvonnalynn,0,virginamerica today must mean need take another trip,24-02-2015 11:15,35.68486254,-119.7092987,0,0,1,0,neutral,-0.3125,negative,-0.3125,Very Objective,0,0,0,0,0,Neutral
negative,1,Bad Flight,0.7033,Virgin America,jnardino,0,virginamerica really aggressive blast obnoxious entertainment guests faces little recourse,24-02-2015 11:15,37.06115943,-119.2791348,0.345,0.187,0.468,-0.3306,negative,0.00625,positive,0.00625,Very Objective,0,0.5,0.5,0,0,angry
negative,1,Can't Tell,1,Virgin America,jnardino,0,virginamerica really thing,24-02-2015 11:14,36.79058741,-120.8677519,0,0,1,0,neutral,0.2,positive,0.2,Objective,0,0,1,0,0,surprise
negative,1,Can't Tell,0.6842,Virgin America,jnardino,0,virginamerica seriously would flight seats playing really thing flying,24-02-2015 11:14,36.22665307,-119.2909233,0.162,0.171,0.667,0.0258,positive,-0.066666667,negative,-0.066666667,Very Objective,0,0,0.5,0,0.5,surprise
positive,0.6745,,0,Virgin America,cjmcginnis,0,virginamerica nearly every time worm away,24-02-2015 11:13,33.77816386,-119.565305,0,0,1,0,neutral,0.1,positive,0.1,Very Objective,0,1,0,0,0,angry
neutral,0.634,,0,Virgin America,pilot,0,virginamerica really missed prime opportunity without hats parody mwpggrezp,24-02-2015 11:12,36.48523925,-119.3018411,0.199,0.244,0.557,0.1458,positive,0.2,positive,0.2,Objective,0.2,0,0.2,0.4,0.2,sad
positive,0.6559,,0,Virgin America,dhepburn,0,virginamerica well,24-02-2015 11:11,36.2089683,-119.0879498,0,0.677,0.323,0.2732,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,1,,0,Virgin America,YupitsTate,0,virginamerica amazing arrived hour early good,24-02-2015 10:53,37.69447475,-119.006906,0,0.626,0.374,0.7717,positive,0.466666667,positive,0.466666667,Neutral,0.5,0,0.5,0,0,happy
neutral,0.6769,,0,Virgin America,idk_but_youtube,0,virginamerica know suicide second leading death among teens,24-02-2015 10:48,34.24436985,-119.8336136,0.583,0,0.417,-0.8555,negative,0,neutral,0,Very Objective,0,0.5,0,0,0.5,angry
positive,1,,0,Virgin America,HyperCamiLax,0,virginamerica pretty graphics much better minimal iconography,24-02-2015 10:30,39.75058769,-119.3735426,0,0.55,0.45,0.7269,positive,0.216666667,positive,0.216666667,Objective,0.5,0,0.5,0,0,happy
positive,1,,0,Virgin America,HyperCamiLax,0,virginamerica great deal already thinking trip australia even gone trip,24-02-2015 10:30,37.61291684,-118.949333,0,0.313,0.687,0.6249,positive,0.8,positive,0.8,Very Subjective,0.33,0,0.33,0,0.33,happy
positive,0.6451,,0,Virgin America,mollanderson,0,virginamerica virginmedia flying fabulous seductive skies take stress away travel ahlxhhkiyn,24-02-2015 10:21,37.47813816,-119.1864056,0.184,0.224,0.592,0.1531,positive,0.4,positive,0.4,Neutral,0.33,0.33,0,0.33,0,happy
positive,1,,0,Virgin America,sjespers,0,virginamerica thanks,24-02-2015 10:15,35.18369076,-119.4065828,0,0.744,0.256,0.4404,positive,0.2,positive,0.2,Objective,0,0,0,0,0,Neutral
negative,0.6842,Late Flight,0.3684,Virgin America,smartwatermelon,0,virginamerica schedule still,24-02-2015 10:01,39.39626569,-119.8715953,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,1,,0,Virgin America,ItzBrianHunty,0,virginamerica excited first cross country flight heard nothing great things virgin america daystogo,24-02-2015 09:42,39.16905518,-119.719583,0.197,0.144,0.659,-0.2249,negative,0.35625,positive,0.35625,Objective,0.2,0.2,0.4,0.2,0,surprise
negative,1,Bad Flight,1,Virgin America,heatherovieda,0,virginamerica flew last week could fully seat large gentleman either side help,24-02-2015 09:39,35.8513037,-120.0134048,0,0.197,0.803,0.4019,positive,0.107142857,positive,0.107142857,Very Objective,0,0,1,0,0,surprise
positive,1,,0,Virgin America,thebrandiray,0,flying virginamerica,24-02-2015 09:15,37.20968341,-119.4065593,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,1,,0,Virgin America,JNLpierce,0,virginamerica know would amazingly awesome please want,24-02-2015 09:04,35.49950099,-119.8185366,0,0.681,0.319,0.8193,positive,1,positive,1,Very Subjective,0,0,0.33,0.33,0.33,surprise
negative,0.6705,Can't Tell,0.3614,Virgin America,MISSGJ,0,virginamerica first fares three times carriers seats available select,24-02-2015 08:55,35.70404704,-119.0620472,0,0,1,0,neutral,0.325,positive,0.325,Objective,0,0,1,0,0,surprise
positive,1,,0,Virgin America,DT_Les,0,virginamerica love graphic utgrrwaaa,24-02-2015 08:49,35.66176435,-118.894633,0,0.583,0.417,0.6369,positive,0.25,positive,0.25,Objective,1,0,0,0,0,happy
positive,1,,0,Virgin America,ElvinaBeck,0,virginamerica love hipster innovation feel good brand,24-02-2015 08:30,36.87905309,-120.1658716,0,0.708,0.292,0.8658,positive,0.6,positive,0.6,Subjective,0.67,0,0,0.33,0,happy
neutral,1,,0,Virgin America,rjlynch21086,0,virginamerica making stop permanently anytime soon,24-02-2015 08:27,34.66097163,-120.3859538,0.306,0,0.694,-0.296,negative,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Customer Service Issue,0.3557,Virgin America,ayeevickiee,0,virginamerica guys messed seating reserved seating friends guys gave seat away want free internet,24-02-2015 08:18,35.60113761,-119.4640929,0.119,0.383,0.498,0.6486,positive,0.4,positive,0.4,Neutral,0.33,0.33,0,0,0.33,happy
negative,1,Customer Service Issue,1,Virgin America,Leora13,0,virginamerica status match program applied three weeks called emailed response,24-02-2015 07:49,37.8573487,-118.9676875,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Can't Tell,0.6614,Virgin America,meredithjlynn,0,virginamerica happened vegan food options least site know able anything next fail,24-02-2015 07:11,35.13975366,-119.9640314,0.241,0,0.759,-0.5423,negative,-0.075,negative,-0.075,Very Objective,0,0,0,0,1,fear
neutral,0.6854,,0,Virgin America,AdamSinger,0,virginamerica miss worry together soon,24-02-2015 05:44,38.75619695,-119.6968716,0.6,0,0.4,-0.5423,negative,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Bad Flight,1,Virgin America,blackjackpro911,0,virginamerica amazing cannot cold vents noair worstflightever roasted sfotobos,24-02-2015 05:05,36.26876792,-119.9038666,0,0.322,0.678,0.5859,positive,5.55E-17,positive,5.55E-17,Very Objective,0,0.33,0.67,0,0,surprise
neutral,0.615,,0,Virgin America,TenantsUpstairs,0,virginamerica middle seat noob maneuver sendambien andchexmix,23-02-2015 23:34,37.4959735,-120.5496581,0.167,0,0.833,-0.0516,negative,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Flight Booking Problems,1,Virgin America,jordanpichler,0,virginamerica bked cool birthday trip cannot elevate entered middle name flight booking problems,23-02-2015 22:52,34.4220881,-119.3092718,0.169,0.144,0.688,-0.1027,negative,0.175,positive,0.175,Very Objective,0.33,0,0,0.33,0.33,happy
neutral,1,,0,Virgin America,JCervantezzz,0,virginamerica hours operation club posted online current,23-02-2015 21:35,38.22953785,-119.3691658,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Customer Service Issue,1,Virgin America,Cuschoolie1,0,virginamerica help left expensive headphones flight today seat answering number,23-02-2015 21:10,36.31626603,-119.2161574,0,0.333,0.667,0.4588,positive,-0.25,negative,-0.25,Very Objective,0,0,0.5,0,0.5,surprise
negative,1,Customer Service Issue,1,Virgin America,amanduhmccarty,0,virginamerica awaiting return phone call would prefer online self service option,23-02-2015 20:55,30.57843655,-119.4807615,0,0,1,0,neutral,0,neutral,0,Very Objective,0.25,0,0.25,0,0.5,fear
positive,1,,0,Virgin America,NorthTxHomeTeam,0,virginamerica great news america could start flights hawaii year rpzyfe pacificbiznews,23-02-2015 20:24,33.05218933,-119.610543,0,0.291,0.709,0.6249,positive,0.8,positive,0.8,Very Subjective,1,0,0,0,0,happy
neutral,0.6207,,0,Virgin America,miaerolinea,0,nice virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience younxtqp,23-02-2015 18:46,38.49016783,-119.3426197,0,0.259,0.741,0.4215,positive,0.6,positive,0.6,Subjective,1,0,0,0,0,happy
positive,1,,0,Virgin America,Nicsplace,0,virginamerica moodlighting best experience ever cool calming moodlitmonday,23-02-2015 18:43,38.12400499,-119.3351274,0,0.648,0.352,0.8481,positive,0.675,positive,0.675,Subjective,0.5,0,0.5,0,0,happy
positive,1,,0,Virgin America,Nicsplace,0,virginamerica freddieawards done done best airline around hands,23-02-2015 18:19,38.18664769,-119.6322036,0,0.375,0.625,0.6369,positive,1,positive,1,Very Subjective,0,0,1,0,0,surprise
neutral,0.6791,,0,Virgin America,elisha_malulani,0,virginamerica book flight hawaii,23-02-2015 17:54,37.61627827,-120.1867982,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Customer Service Issue,1,Virgin America,DannyDouglass,0,virginamerica chat support working site vhpgtdwpk,23-02-2015 17:41,34.74635682,-119.3444154,0,0.351,0.649,0.4019,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
positive,0.6639,,0,Virgin America,jamesferrandini,0,virginamerica view downtown angeles hollywood sign beyond rain mountains dwnfibtr,23-02-2015 17:32,36.63818998,-119.9275379,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,0.6688,Flight Booking Problems,0.6688,Virgin America,will_lenzenjr,0,virginamerica first time flyer next week excited hard time getting flights added elevate account help,23-02-2015 17:00,38.06355177,-120.0421676,0.076,0.276,0.649,0.5719,positive,0.083333333,positive,0.083333333,Very Objective,0,0.12,0.25,0.38,0.25,sad
neutral,1,,0,Virgin America,GottAmanda,0,virginamerica help upgrade flight,23-02-2015 16:24,36.26995482,-119.9225135,0,0.474,0.526,0.4019,positive,0,neutral,0,Very Objective,0,0,1,0,0,surprise
neutral,0.6578,,0,Virgin America,KGervaise,0,virginamerica unused ticket moved city expires travelhelp,23-02-2015 16:20,32.70536894,-119.1096272,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,1,,0,Virgin America,papamurat,0,virginamerica flights leaving dallas seattle time,23-02-2015 16:13,38.12883235,-119.8636556,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,1,,0,Virgin America,arieldaie,0,virginamerica elevategold good reason rock,23-02-2015 16:08,39.4794637,-118.9549904,0,0.42,0.58,0.4404,positive,0.7,positive,0.7,Subjective,0.5,0,0,0.5,0,happy
neutral,0.6799,,0,Virgin America,vacations7,0,virginamerica dream oadrfaoq lwwdackhx,23-02-2015 16:04,35.28741777,-119.3696029,0,0.4,0.6,0.25,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,1,,0,Virgin America,ChelseaPoe666,0,virginamerica blew mind,23-02-2015 16:01,37.0657393,-119.3900163,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,1,0,0,surprise
neutral,1,,0,Virgin America,BobGlavinVO,0,virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscars ladygaga think carrieunderwood agree,23-02-2015 16:01,38.07462209,-119.4927403,0,0.185,0.815,0.3612,positive,0,neutral,0,Very Objective,0,0,1,0,0,surprise
neutral,0.6436,,0,Virgin America,lisaaiko,0,virginamerica ladygaga carrieunderwood entertaining,23-02-2015 15:58,35.48621296,-119.6218856,0,0.492,0.508,0.4404,positive,0.5,positive,0.5,Neutral,0,0,0,0,0,Neutral
neutral,0.6764,,0,Virgin America,grantbrowne,0,virginamerica flight supposed take minutes website still shows time flight thanks,23-02-2015 15:55,40.51361284,-119.9060141,0,0.225,0.775,0.4404,positive,0.2,positive,0.2,Objective,0,0,0,0,1,fear
positive,0.657,,0,Virgin America,joyabsalon,0,virginamerica ladygaga carrieunderwood julie andrews though ladygaga impressive carrieunderwood,23-02-2015 15:46,37.50111018,-120.1581244,0,0.292,0.708,0.5106,positive,1,positive,1,Very Subjective,0.5,0,0,0.5,0,happy
neutral,1,,0,Virgin America,2v,0,virginamerica wish flew atlanta soon,23-02-2015 15:36,36.36406602,-119.8054787,0,0.403,0.597,0.4019,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,0.7118,,0,Virgin America,KSmithFoundHere,0,virginamerica ladygaga carrieunderwood julie andrews hands,23-02-2015 15:24,36.19269825,-118.6649785,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,1,,0,Virgin America,papamurat,0,virginamerica flights leaving dallas february,23-02-2015 15:19,38.59918713,-119.7256431,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,0.6939,Flight Booking Problems,0.6939,Virgin America,murphicus,0,virginamerica excited deal trying book since last week page never loads,23-02-2015 15:05,36.16369593,-119.9888305,0,0.194,0.806,0.34,positive,0.1875,positive,0.1875,Very Objective,0,0,0,0.5,0.5,sad
positive,1,,0,Virgin America,VinnieFerra,0,virginamerica know need spotify stat guiltypleasures,23-02-2015 15:04,35.64581724,-119.4470529,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,0.635,,0,Virgin America,KevinDemsi,0,virginamerica ladygaga carrieunderwood lady gaga amazing,23-02-2015 14:40,33.02386791,-119.9744421,0,0.432,0.568,0.5859,positive,0.6,positive,0.6,Subjective,0,0,1,0,0,surprise
neutral,0.7007,,0,Virgin America,giffgaffman,0,virginamerica ladygaga carrieunderwood carrie,23-02-2015 14:40,36.79764117,-119.0687286,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,1,,0,Virgin America,HanlonBrothers,0,virginamerica marketing song flfulcbq know think,23-02-2015 14:37,35.33080904,-119.4446836,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0.5,0,0.5,surprise
neutral,1,,0,Virgin America,emilybg78,0,virginamerica ladygaga carrieunderwood julie andrews first lady gaga last night carrie,23-02-2015 14:36,35.58654401,-119.0185812,0,0,1,0,neutral,0.125,positive,0.125,Very Objective,0,0,1,0,0,surprise
negative,1,Customer Service Issue,1,Virgin America,rachie1126,0,virginamerica called weeks adding flights elevate still shown help,23-02-2015 14:35,39.36704608,-118.573113,0,0.252,0.748,0.4019,positive,0,neutral,0,Very Objective,0,0,0.33,0.67,0,sad
